Predators=8, Grid=30*30
BSO Moves=34
BSO Moves=28
BSO Moves=26
BSO Moves=9
BSO Moves=22
BSO Moves=15
BSO Moves=22
BSO Moves=46
BSO Moves=29
BSO Moves=15
BSO Moves=20
BSO Moves=8
BSO Moves=28
BSO Moves=11
BSO Moves=17
BSO Moves=21
BSO Moves=19
BSO Moves=14
BSO Moves=23
BSO Moves=15
BSO Moves=44
BSO Moves=65
BSO Moves=40
BSO Moves=16
BSO Moves=17
BSO Moves=24
BSO Moves=11
BSO Moves=43
BSO Moves=25
BSO Moves=31
BSO Moves=26
BSO Moves=25
BSO Moves=22
BSO Moves=21
BSO Moves=25
BSO Moves=13
BSO Moves=34
BSO Moves=26
BSO Moves=19
BSO Moves=9
BSO Moves=13
BSO Moves=19
BSO Moves=30
BSO Moves=21
BSO Moves=28
BSO Moves=19
BSO Moves=38
BSO Moves=19
BSO Moves=18
BSO Moves=16
BSO Moves=24
BSO Moves=24
BSO Moves=23
BSO Moves=14
BSO Moves=30
BSO Moves=12
BSO Moves=46
BSO Moves=17
BSO Moves=21
BSO Moves=13
BSO Moves=28
BSO Moves=39
BSO Moves=22
BSO Moves=24
BSO Moves=32
BSO Moves=27
BSO Moves=23
BSO Moves=26
BSO Moves=30
BSO Moves=22
BSO Moves=20
BSO Moves=24
BSO Moves=12
BSO Moves=26
BSO Moves=59
BSO Moves=14
BSO Moves=7
BSO Moves=21
BSO Moves=27
BSO Moves=38
BSO Moves=23
BSO Moves=25
BSO Moves=19
BSO Moves=10
BSO Moves=33
BSO Moves=17
BSO Moves=33
BSO Moves=16
BSO Moves=19
BSO Moves=42
BSO Moves=24
BSO Moves=13
BSO Moves=18
BSO Moves=15
BSO Moves=13
BSO Moves=23
BSO Moves=14
BSO Moves=16
BSO Moves=28
BSO Moves=26
